,Terms,Frequency
9173,titl,6
1926,class,6
6756,oscandrick,6
5919,minim,6
5878,midst,6
6885,partial,6
5834,metro,6
6905,pastor,6
5805,mental,6
5773,medtwitt,6
6012,moment,6
6793,overal,6
6016,mon,6
6044,monthli,6
6082,movement,6
7044,pgcml,6
9248,train,6
1777,charlott,6
5198,land,6
7073,phx,6
5543,maintain,6
5521,madison,6
5443,loom,6
5426,london,6
5354,likelihood,6
6738,ordin,6
6112,mspears96,6
6146,muscl,6
6850,pandemicpar,6
6705,ontario,6
7234,power,6
6179,myopericard,6
6182,mysteri,6
5749,medicaid,6
2560,daughter,6
4789,jamanetwork,6
4785,jamacurr,6
3197,enhanc,6
3223,episod,6
8425,sleev,6
3264,espn,6
3268,essenti,6
3272,est,6
3282,ethic,6
8389,singleshot,6
8375,simpl,6
3334,exactli,6
8959,teaguefootbal,6
8970,technic,6
3355,exist,6
3367,experiment,6
3386,extra,6
3432,faith,6
8305,sheet,6
2273,coupl,6
8262,serv,6
3551,financ,6
3564,firefight,6
3570,firstcom,6
3573,firstserv,6
3110,elect,6
3078,edit,6
3070,economi,6
2823,disput,6
8799,suddenli,6
8786,subject,6
8783,su,6
2542,dark,6
8744,strateg,6
2516,dalla,6
2512,dak,6
8741,strain,6
2781,direct,6
2795,disciplinari,6
8658,staten,6
8513,son,6
2466,cumul,6
8859,surround,6
8624,stage,6
2928,download,6
2960,drivethrough,6
3031,ea,6
2428,cross,6
2407,credit,6
8526,sought,6
3044,easili,6
8250,septemb,6
8248,separ,6
3592,flag,6
7653,reexamin,6
7749,reportedli,6
7738,repeat,6
4531,imag,6
7687,reimpos,6
8793,success,6
7674,registri,6
2063,commission,6
2062,commiss,6
2058,comment,6
4600,indic,6
4625,influenc,6
2114,concentr,6
7638,recurr,6
2039,color,6
4639,ingredi,6
4647,injunct,6
4716,investor,6
4720,involv,6
4726,iphon,6
4730,ireland,6
7568,rather,6
4784,jama,6
4406,houston,6
7784,resolut,6
2234,corp,6
4117,hard,6
3633,focus,6
3650,forb,6
8176,se,6
3779,gain,6
2186,conveni,6
4003,greec,6
4037,grow,6
2173,context,6
4101,hampshir,6
2166,contagi,6
4172,heal,6
7791,rest,6
7889,rochel,6
7880,robert,6
4215,heard,6
7838,richmond,6
2136,congratul,6
2134,confus,6
4297,hill,6
7815,revel,6
7798,resultstweet,6
9065,theme,6
4235,hello,6
5158,ksleg,6
1654,cb,6
9796,victim,6
1019,barbado,6
1329,boston,6
10068,wi,6
9500,unless,6
118,2306pm,6
314,aaronrodg,6
606,alway,6
23,10th,6
9750,vaxupphilli,6
725,antimask,6
29,11am,6
9487,uniqu,6
1549,canadian,6
9323,truth,6
9816,vincent,6
937,autoimmun,6
